iter	Passed	Remaining
0	2016	2014211
1	2023	1009643
2	2030	674639
3	2036	507065
4	2043	406582
5	2050	339617
6	2056	291749
7	2063	255863
8	2070	227949
9	2076	205597
10	2083	187312
11	2089	172074
12	2096	159176
13	2103	148129
14	2109	138549
15	2116	130174
16	2123	122776
17	2130	116208
18	2136	110314
19	2143	105016
20	2150	100232
21	2156	95877
22	2163	91901
23	2170	88269
24	2177	84913
25	2183	81815
26	2190	78948
27	2197	76279
28	2204	73796
29	2210	71480
30	2217	69314
31	2224	67279
32	2231	65387
33	2238	63586
34	2244	61890
35	2251	60289
36	2258	58773
37	2265	57344
38	2271	55982
39	2278	54685
40	2285	53453
41	2292	52282
42	2298	51158
43	2305	50089
44	2312	49068
45	2319	48094
46	2325	47158
47	2332	46258
48	2338	45394
49	2345	44570
50	2353	43785
51	2359	43018
52	2366	42280
53	2373	41571
54	2379	40882
55	2386	40224
56	2392	39586
57	2399	38972
58	2406	38376
59	2413	37808
60	2420	37255
61	2427	36718
62	2433	36195
63	2440	35688
64	2447	35199
65	2453	34724
66	2460	34262
67	2467	33816
68	2474	33382
69	2480	32958
70	2487	32545
71	2494	32145
72	2500	31758
73	2507	31377
74	2514	31007
75	2520	30647
76	2527	30300
77	2535	29967
78	2542	29636
79	2549	29313
80	2555	28995
81	2562	28687
82	2569	28386
83	2576	28094
84	2582	27805
85	2589	27524
86	2596	27247
87	2603	26976
88	2609	26713
89	2616	26455
90	2623	26202
91	2629	25956
92	2636	25714
93	2642	25473
94	2649	25241
95	2656	25017
96	2663	24794
97	2669	24574
98	2676	24359
99	2683	24148
100	2689	23941
101	2696	23737
102	2703	23540
103	2709	23344
104	2716	23153
105	2722	22963
106	2729	22781
107	2736	22599
108	2743	22426
109	2750	22256
110	2757	22084
111	2764	21915
112	2770	21749
113	2777	21585
114	2784	21425
115	2790	21266
116	2797	21111
117	2803	20956
118	2810	20809
119	2817	20662
120	2824	20515
121	2830	20370
122	2837	20230
123	2844	20096
124	2851	19961
125	2858	19825
126	2864	19690
127	2871	19560
128	2877	19430
129	2884	19303
130	2891	19177
131	2897	19054
132	2904	18932
133	2910	18811
134	2917	18693
135	2924	18577
136	2930	18461
137	2937	18349
138	2944	18236
139	2950	18125
140	2957	18016
141	2964	17910
142	2970	17803
143	2977	17697
144	2983	17593
145	2990	17490
146	2997	17391
147	3003	17292
148	3010	17194
149	3017	17096
150	3023	17000
151	3030	16906
152	3036	16810
153	3043	16720
154	3051	16633
155	3058	16547
156	3065	16460
157	3072	16375
158	3080	16291
159	3086	16206
160	3093	16120
161	3100	16036
162	3106	15953
163	3113	15870
164	3119	15788
165	3126	15709
166	3133	15629
167	3140	15551
168	3146	15472
169	3152	15394
170	3159	15316
171	3166	15241
172	3172	15166
173	3179	15092
174	3186	15020
175	3193	14950
176	3199	14877
177	3206	14806
178	3212	14735
179	3219	14666
180	3226	14599
181	3233	14531
182	3239	14464
183	3246	14397
184	3253	14332
185	3259	14266
186	3266	14199
187	3272	14134
188	3279	14071
189	3285	14006
190	3292	13945
191	3299	13884
192	3306	13823
193	3313	13764
194	3319	13705
195	3327	13650
196	3334	13590
197	3340	13531
198	3347	13472
199	3353	13414
200	3360	13357
201	3366	13299
202	3372	13242
203	3379	13186
204	3386	13133
205	3393	13079
206	3400	13025
207	3406	12972
208	3413	12920
209	3420	12867
210	3427	12815
211	3433	12763
212	3440	12712
213	3446	12660
214	3453	12609
215	3460	12558
216	3467	12511
217	3473	12461
218	3480	12412
219	3487	12365
220	3494	12316
221	3500	12268
222	3507	12221
223	3514	12173
224	3520	12127
225	3527	12080
226	3533	12034
227	3540	11988
228	3547	11942
229	3554	11898
230	3560	11854
231	3567	11809
232	3573	11764
233	3580	11721
234	3586	11676
235	3593	11632
236	3599	11589
237	3606	11546
238	3612	11503
239	3620	11464
240	3627	11423
241	3633	11380
242	3639	11338
243	3646	11297
244	3653	11258
245	3660	11220
246	3668	11183
247	3674	11142
248	3681	11103
249	3688	11064
250	3694	11024
251	3701	10986
252	3707	10947
253	3714	10909
254	3721	10871
255	3727	10833
256	3734	10795
257	3741	10759
258	3747	10722
259	3754	10685
260	3760	10648
261	3767	10612
262	3774	10576
263	3781	10541
264	3787	10505
265	3794	10470
266	3801	10436
267	3808	10401
268	3815	10367
269	3821	10333
270	3829	10300
271	3835	10265
272	3842	10233
273	3849	10199
274	3856	10167
275	3863	10133
276	3869	10101
277	3876	10067
278	3883	10035
279	3889	10002
280	3896	9970
281	3903	9938
282	3910	9906
283	3916	9874
284	3923	9842
285	3930	9811
286	3937	9781
287	3943	9750
288	3950	9718
289	3956	9687
290	3963	9656
291	3970	9626
292	3977	9596
293	3983	9566
294	3990	9536
295	3996	9506
296	4003	9477
297	4010	9447
298	4016	9417
299	4023	9389
300	4030	9360
301	4037	9331
302	4044	9302
303	4051	9275
304	4057	9246
305	4064	9218
306	4071	9190
307	4078	9162
308	4084	9134
309	4091	9106
310	4097	9078
311	4104	9050
312	4110	9023
313	4117	8995
314	4124	8969
315	4131	8942
316	4137	8914
317	4144	8887
318	4151	8861
319	4157	8835
320	4164	8809
321	4170	8782
322	4177	8756
323	4184	8730
324	4191	8705
325	4198	8679
326	4205	8654
327	4211	8628
328	4217	8602
329	4224	8577
330	4231	8551
331	4237	8526
332	4244	8501
333	4251	8477
334	4258	8452
335	4264	8428
336	4271	8403
337	4277	8378
338	4284	8354
339	4291	8329
340	4297	8305
341	4304	8282
342	4311	8258
343	4318	8235
344	4325	8211
345	4332	8188
346	4338	8165
347	4345	8141
348	4352	8119
349	4359	8096
350	4366	8072
351	4372	8050
352	4379	8027
353	4386	8004
354	4392	7981
355	4399	7958
356	4405	7935
357	4412	7912
358	4419	7890
359	4425	7867
360	4432	7846
361	4439	7823
362	4445	7801
363	4453	7780
364	4460	7759
365	4467	7738
366	4473	7716
367	4480	7694
368	4486	7672
369	4493	7650
370	4499	7628
371	4506	7607
372	4512	7585
373	4519	7564
374	4526	7543
375	4532	7522
376	4539	7501
377	4545	7480
378	4552	7459
379	4559	7439
380	4565	7418
381	4572	7397
382	4579	7376
383	4586	7357
384	4593	7336
385	4599	7316
386	4606	7296
387	4613	7276
388	4620	7257
389	4627	7237
390	4633	7216
391	4640	7196
392	4646	7176
393	4653	7157
394	4660	7137
395	4666	7118
396	4673	7098
397	4680	7079
398	4686	7059
399	4693	7040
400	4700	7021
401	4707	7002
402	4714	6983
403	4720	6963
404	4727	6944
405	4734	6926
406	4740	6907
407	4747	6888
408	4754	6870
409	4760	6850
410	4767	6832
411	4774	6814
412	4781	6795
413	4788	6777
414	4795	6759
415	4801	6740
416	4808	6723
417	4815	6705
418	4822	6687
419	4829	6669
420	4836	6651
421	4843	6633
422	4849	6615
423	4856	6597
424	4863	6579
425	4870	6561
426	4876	6544
427	4883	6526
428	4890	6509
429	4896	6491
430	4903	6473
431	4909	6455
432	4916	6437
433	4923	6420
434	4930	6403
435	4936	6385
436	4942	6367
437	4950	6351
438	4956	6334
439	4963	6316
440	4969	6299
441	4976	6282
442	4983	6265
443	4989	6248
444	4996	6231
445	5002	6214
446	5009	6197
447	5016	6180
448	5022	6163
449	5029	6147
450	5036	6130
451	5042	6113
452	5049	6097
453	5056	6080
454	5062	6063
455	5069	6047
456	5076	6031
457	5082	6015
458	5089	5998
459	5095	5982
460	5102	5965
461	5109	5949
462	5116	5933
463	5122	5917
464	5129	5901
465	5136	5885
466	5143	5869
467	5149	5853
468	5155	5837
469	5162	5821
470	5169	5805
471	5175	5790
472	5182	5774
473	5189	5758
474	5195	5742
475	5202	5727
476	5208	5711
477	5215	5695
478	5221	5679
479	5227	5663
480	5234	5647
481	5240	5632
482	5248	5617
483	5255	5602
484	5262	5587
485	5268	5572
486	5275	5556
487	5281	5541
488	5288	5526
489	5295	5511
490	5302	5496
491	5309	5482
492	5316	5467
493	5323	5452
494	5329	5437
495	5336	5422
496	5342	5407
497	5349	5392
498	5356	5378
499	5363	5363
500	5369	5348
501	5376	5333
502	5383	5318
503	5389	5304
504	5396	5289
505	5403	5274
506	5409	5260
507	5416	5245
508	5423	5231
509	5429	5216
510	5436	5202
511	5442	5187
512	5449	5173
513	5456	5159
514	5463	5144
515	5469	5130
516	5476	5116
517	5483	5102
518	5489	5087
519	5495	5073
520	5502	5058
521	5508	5044
522	5515	5030
523	5522	5016
524	5529	5002
525	5535	4988
526	5542	4974
527	5549	4960
528	5555	4946
529	5562	4932
530	5568	4918
531	5575	4904
532	5581	4890
533	5588	4876
534	5594	4862
535	5601	4849
536	5608	4835
537	5614	4821
538	5621	4807
539	5627	4793
540	5634	4780
541	5640	4766
542	5647	4752
543	5654	4739
544	5660	4725
545	5667	4712
546	5673	4698
547	5680	4685
548	5687	4671
549	5693	4658
550	5700	4645
551	5706	4631
552	5713	4618
553	5719	4604
554	5726	4591
555	5733	4578
556	5739	4565
557	5746	4551
558	5752	4538
559	5759	4525
560	5766	4512
561	5772	4499
562	5779	4485
563	5785	4472
564	5792	4459
565	5798	4446
566	5805	4433
567	5812	4420
568	5819	4407
569	5826	4395
570	5833	4382
571	5840	4369
572	5846	4357
573	5853	4344
574	5860	4331
575	5866	4318
576	5873	4305
577	5879	4292
578	5886	4280
579	5893	4267
580	5899	4254
581	5906	4242
582	5913	4229
583	5919	4216
584	5926	4204
585	5932	4191
586	5939	4178
587	5945	4166
588	5952	4153
589	5959	4141
590	5965	4128
591	5971	4115
592	5978	4103
593	5984	4090
594	5991	4078
595	5998	4066
596	6005	4054
597	6012	4041
598	6019	4029
599	6025	4017
600	6032	4004
601	6039	3992
602	6045	3980
603	6052	3968
604	6059	3955
605	6065	3943
606	6072	3931
607	6078	3919
608	6085	3906
609	6091	3894
610	6098	3882
611	6105	3870
612	6111	3858
613	6118	3846
614	6125	3834
615	6131	3822
616	6138	3810
617	6144	3798
618	6150	3785
619	6157	3774
620	6164	3762
621	6171	3750
622	6178	3738
623	6184	3726
624	6190	3714
625	6197	3702
626	6203	3690
627	6209	3678
628	6216	3666
629	6222	3654
630	6229	3642
631	6235	3631
632	6242	3619
633	6248	3607
634	6255	3595
635	6263	3584
636	6270	3573
637	6277	3561
638	6283	3549
639	6290	3538
640	6296	3526
641	6302	3514
642	6309	3503
643	6316	3491
644	6322	3480
645	6329	3468
646	6336	3457
647	6342	3445
648	6349	3434
649	6355	3422
650	6362	3410
651	6369	3399
652	6376	3388
653	6383	3376
654	6389	3365
655	6397	3354
656	6404	3343
657	6410	3332
658	6417	3320
659	6424	3309
660	6430	3298
661	6437	3286
662	6446	3276
663	6453	3265
664	6459	3253
665	6465	3242
666	6472	3231
667	6479	3220
668	6485	3209
669	6493	3198
670	6499	3186
671	6506	3175
672	6513	3164
673	6520	3153
674	6526	3142
675	6533	3131
676	6540	3120
677	6547	3109
678	6553	3098
679	6560	3087
680	6567	3076
681	6573	3065
682	6579	3053
683	6586	3042
684	6593	3031
685	6600	3021
686	6606	3010
687	6613	2999
688	6620	2988
689	6627	2977
690	6634	2966
691	6640	2955
692	6647	2944
693	6654	2933
694	6660	2922
695	6667	2912
696	6673	2901
697	6680	2890
698	6687	2879
699	6693	2868
700	6700	2857
701	6706	2847
702	6713	2836
703	6720	2825
704	6727	2814
705	6733	2804
706	6740	2793
707	6747	2782
708	6753	2771
709	6760	2761
710	6767	2750
711	6774	2740
712	6781	2729
713	6787	2718
714	6794	2708
715	6801	2697
716	6807	2687
717	6814	2676
718	6821	2665
719	6827	2655
720	6834	2644
721	6840	2633
722	6847	2623
723	6853	2612
724	6860	2602
725	6867	2591
726	6873	2581
727	6880	2570
728	6886	2560
729	6893	2549
730	6899	2539
731	6906	2528
732	6913	2518
733	6919	2507
734	6926	2497
735	6933	2486
736	6940	2476
737	6946	2466
738	6953	2455
739	6960	2445
740	6967	2435
741	6974	2424
742	6980	2414
743	6987	2404
744	6993	2393
745	7000	2383
746	7006	2373
747	7013	2362
748	7019	2352
749	7026	2342
750	7033	2331
751	7039	2321
752	7046	2311
753	7052	2300
754	7059	2290
755	7065	2280
756	7072	2270
757	7079	2260
758	7085	2249
759	7092	2239
760	7098	2229
761	7105	2219
762	7112	2209
763	7119	2199
764	7126	2189
765	7132	2178
766	7139	2168
767	7145	2158
768	7152	2148
769	7159	2138
770	7165	2128
771	7172	2118
772	7178	2108
773	7185	2098
774	7191	2087
775	7198	2077
776	7205	2067
777	7211	2057
778	7218	2047
779	7224	2037
780	7231	2027
781	7238	2017
782	7245	2007
783	7252	1998
784	7258	1987
785	7264	1977
786	7271	1968
787	7278	1958
788	7284	1948
789	7291	1938
790	7298	1928
791	7304	1918
792	7311	1908
793	7317	1898
794	7323	1888
795	7331	1878
796	7337	1868
797	7344	1859
798	7350	1849
799	7356	1839
800	7363	1829
801	7369	1819
802	7376	1809
803	7383	1799
804	7389	1790
805	7396	1780
806	7403	1770
807	7409	1760
808	7416	1750
809	7423	1741
810	7429	1731
811	7435	1721
812	7442	1711
813	7449	1702
814	7455	1692
815	7462	1682
816	7469	1673
817	7476	1663
818	7482	1653
819	7489	1644
820	7496	1634
821	7503	1624
822	7509	1615
823	7516	1605
824	7523	1595
825	7529	1586
826	7536	1576
827	7543	1567
828	7550	1557
829	7556	1547
830	7563	1538
831	7569	1528
832	7576	1518
833	7583	1509
834	7589	1499
835	7596	1490
836	7603	1480
837	7609	1471
838	7616	1461
839	7623	1452
840	7629	1442
841	7636	1433
842	7643	1423
843	7650	1414
844	7656	1404
845	7663	1395
846	7670	1385
847	7676	1376
848	7683	1366
849	7690	1357
850	7696	1347
851	7703	1338
852	7709	1328
853	7716	1319
854	7723	1309
855	7729	1300
856	7735	1290
857	7742	1281
858	7749	1272
859	7756	1262
860	7763	1253
861	7769	1243
862	7777	1234
863	7784	1225
864	7791	1216
865	7799	1206
866	7805	1197
867	7812	1188
868	7819	1178
869	7826	1169
870	7833	1160
871	7839	1150
872	7846	1141
873	7852	1132
874	7859	1122
875	7865	1113
876	7872	1104
877	7879	1094
878	7885	1085
879	7892	1076
880	7899	1067
881	7906	1057
882	7912	1048
883	7919	1039
884	7926	1029
885	7933	1020
886	7939	1011
887	7946	1002
888	7953	993
889	7959	983
890	7966	974
891	7972	965
892	7979	956
893	7985	946
894	7992	937
895	7999	928
896	8005	919
897	8012	910
898	8019	900
899	8026	891
900	8033	882
901	8039	873
902	8045	864
903	8052	855
904	8059	845
905	8065	836
906	8072	827
907	8079	818
908	8086	809
909	8092	800
910	8100	791
911	8106	782
912	8113	773
913	8120	764
914	8127	754
